2023-01,4.2
2023-02,3.8
2023-03,3.6
2023-04,3.1
2023-05,3
2023-06,2.5
2023-07,3.3
2023-08,4.2
2023-09,5.4
2023-10,6
2023-11,5.6
2023-12,5
2024-01,3.6
2024-02,3.3
2024-03,3.7
2024-04,4.2
2024-05,4
2024-06,4.1
2024-07,4.3
2024-08,5.8
2024-09,6.7
2024-10,7.7
2024-11,7.4
2024-12,7.3
2025-01,7.2
2025-02,7.1
2025-03,7.1
2025-04,7.1
2025-05,8.5
2025-06,8.4
2025-07,8.7
2025-08,7.9
2025-09,8.1
2025-10,7.7
2025-11,7.35
2025-12,7
2026-01,6.25
2026-02,5.98
2026-03,6.05
2026-04,6.05
2026-05,6.42
2026-06,6.25
2026-07,6.68
2026-08,7.22
2026-09,7.98
2026-10,8.38
2026-11,8.03
2026-12,7.68
2027-01,6.93
2027-02,6.67
2027-03,6.73
2027-04,6.73
2027-05,7.1
2027-06,6.93
2027-07,7.37
2027-08,7.9
2027-09,8.67
2027-10,9.07
2027-11,8.72
2027-12,8.37
2028-01,7.62
2028-02,7.35
2028-03,7.42
2028-04,7.42
2028-05,7.78
2028-06,7.62
2028-07,8.05
2028-08,8.58
2028-09,9.35
2028-10,9.75
2028-11,9.4
2028-12,9.05
2029-01,8.3
2029-02,8.03
2029-03,8.1
2029-04,8.1
2029-05,8.47
2029-06,8.3
2029-07,8.73
2029-08,9.27
2029-09,10.03
2029-10,10.43
2029-11,10.08
2029-12,9.73
2030-01,8.98
2030-02,8.72
2030-03,8.78
2030-04,8.78
2030-05,9.15
2030-06,8.98
2030-07,9.42
2030-08,9.95
2030-09,10.72
2030-10,11.12
